ID,Value
September_headline CPI,0
September_food and non-alcoholic beverages,0
September_alcoholic beverages and tobacco,0
September_clothing and footwear,0
September_housing and utilities,0
September_household contents and services,0
September_health,0
September_transport,0
September_communication,0
September_recreation and culture,0
September_education,0
September_restaurants and hotels,0
September_miscellaneous goods and services,0
October_headline CPI,0
October_food and non-alcoholic beverages,0
October_alcoholic beverages and tobacco,0
October_clothing and footwear,0
October_housing and utilities,0
October_household contents and services,0
October_health,0
October_transport,0
October_communication,0
October_recreation and culture,0
October_education,0
October_restaurants and hotels,0
October_miscellaneous goods and services,0
November_headline CPI,0
November_food and non-alcoholic beverages,0
November_alcoholic beverages and tobacco,0
November_clothing and footwear,0
November_housing and utilities,0
November_household contents and services,0
November_health,0
November_transport,0
November_communication,0
November_recreation and culture,0
November_education,0
November_restaurants and hotels,0
November_miscellaneous goods and services,0